,bed_type,calendar_last_scraped,cancellation_policy,city,country,country_code,experiences_offered,has_availability,host_acceptance_rate,host_has_profile_pic,host_identity_verified,host_is_superhost,host_response_time,instant_bookable,is_location_exact,jurisdiction_names,last_scraped,market,neighbourhood_group_cleansed,property_type,require_guest_phone_verification,require_guest_profile_picture,requires_license,room_type,smart_location,state,id,scrape_id,host_id,host_listings_count,host_total_listings_count,latitude,longitude,accommodates,bathrooms,bedrooms,beds,guests_included,minimum_nights,maximum_nights,availability_30,availability_60,availability_90,availability_365,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,calculated_host_listings_count,reviews_per_month,price,weekly_price,security_deposit,cleaning_fee,extra_people
1953,Real Bed,2016-01-04,strict,Seattle,United States,US,none,t,100%,t,t,f,within an hour,f,t,WASHINGTON,2016-01-04,Seattle,Beacon Hill,Loft,f,f,f,Entire home/apt,"Seattle, WA",WA,6105021,20160104002432,2744582,1.0,1.0,47.54762602613064,-122.30413371806502,2,1.0,0.0,1.0,1,2,1125,14,44,74,349,18,98.0,10.0,10.0,10.0,10.0,9.0,10.0,1,3.25,99.0,700.0,500.0,61.71090387374462,20.0
1954,Real Bed,2016-01-04,moderate,Seattle,United States,US,none,t,100%,t,t,f,within an hour,f,f,WASHINGTON,2016-01-04,Seattle,Beacon Hill,House,f,f,f,Private room,"Seattle, WA",WA,10299108,20160104002432,20448703,5.0,5.0,47.54498546288632,-122.30089926184726,2,1.0,1.0,1.0,1,2,1125,27,36,65,65,0,94.53926206244087,9.63639240506329,9.556398104265403,9.786708860759493,9.809598989580044,9.608915586468543,9.452245414294751,5,2.078918834221248,58.0,567.5573663624511,254.48483177054607,61.71090387374462,0.0
1955,Real Bed,2016-01-04,moderate,Seattle,United States,US,none,t,100%,t,t,t,within a few hours,f,t,WASHINGTON,2016-01-04,Seattle,Beacon Hill,House,f,f,f,Entire home/apt,"Seattle, WA",WA,6626493,20160104002432,15512043,1.0,1.0,47.547123593874424,-122.30139463979195,2,1.0,1.0,1.0,1,2,1125,0,0,0,0,15,97.0,10.0,10.0,10.0,10.0,9.0,10.0,1,2.39,69.0,375.0,175.0,20.0,0.0
1956,Real Bed,2016-01-04,moderate,Seattle,United States,US,none,t,100%,t,t,f,within a few hours,f,t,WASHINGTON,2016-01-04,Seattle,Beacon Hill,Other,t,t,f,Private room,"Seattle, WA",WA,573942,20160104002432,30559,5.0,5.0,47.549456111451605,-122.31657741596342,2,3.0,1.0,1.0,1,2,60,0,3,33,308,77,95.0,9.0,9.0,9.0,9.0,9.0,9.0,5,1.87,65.0,390.0,100.0,10.0,10.0
1957,Real Bed,2016-01-04,flexible,Seattle,United States,US,none,t,100%,t,f,f,within a few hours,f,t,WASHINGTON,2016-01-04,Seattle,Beacon Hill,House,f,f,f,Private room,"Seattle, WA",WA,9314106,20160104002432,48345118,1.0,1.0,47.54617149042048,-122.30809532624777,2,1.0,1.0,1.0,1,2,1125,1,5,5,38,0,94.53926206244087,9.63639240506329,9.556398104265403,9.786708860759493,9.809598989580044,9.608915586468543,9.452245414294751,1,2.078918834221248,38.0,567.5573663624511,254.48483177054607,61.71090387374462,0.0
1959,Real Bed,2016-01-04,moderate,Seattle,United States,US,none,t,100%,t,t,f,within a few hours,t,t,WASHINGTON,2016-01-04,Seattle,Beacon Hill,House,f,f,f,Entire home/apt,"Seattle, WA",WA,9564093,20160104002432,49515693,1.0,1.0,47.53280313798705,-122.28915035933059,2,1.0,1.0,1.0,1,1,1125,21,46,76,165,3,87.0,10.0,9.0,10.0,10.0,8.0,9.0,1,3.0,60.0,567.5573663624511,254.48483177054607,10.0,15.0
1960,Real Bed,2016-01-04,strict,Seattle,United States,US,none,t,100%,t,t,f,within a few hours,f,t,WASHINGTON,2016-01-04,Seattle,Beacon Hill,House,f,f,f,Entire home/apt,"Seattle, WA",WA,1652107,20160104002432,5325329,9.0,9.0,47.52566156471516,-122.28115550459421,8,1.0,3.0,3.0,7,1,90,20,46,76,165,56,92.0,9.0,9.0,10.0,10.0,8.0,9.0,8,2.07,175.0,567.5573663624511,250.0,100.0,40.0
1962,Real Bed,2016-01-04,moderate,Seattle,United States,US,none,t,100%,t,f,f,within a few hours,f,t,WASHINGTON,2016-01-04,Seattle,Other neighborhoods,House,f,f,f,Private room,"Seattle, WA",WA,942490,20160104002432,4705328,1.0,1.0,47.689317739514095,-122.36513551796608,5,1.0,1.0,2.0,2,2,7,30,60,90,365,74,86.0,9.0,9.0,10.0,9.0,9.0,9.0,1,2.19,80.0,680.0,254.48483177054607,61.71090387374462,20.0
1963,Real Bed,2016-01-04,moderate,Seattle,United States,US,none,t,100%,t,f,f,within a few hours,f,t,WASHINGTON,2016-01-04,Seattle,Other neighborhoods,House,f,f,f,Entire home/apt,"Seattle, WA",WA,8653722,20160104002432,45479019,1.0,1.0,47.69820987218864,-122.36171942587809,2,1.0,0.0,1.0,0,2,1125,0,0,20,265,5,96.0,10.0,10.0,10.0,10.0,9.0,10.0,1,1.72,85.0,550.0,150.0,50.0,0.0
1965,Real Bed,2016-01-04,flexible,Seattle,United States,US,none,t,100%,t,f,f,within an hour,t,t,WASHINGTON,2016-01-04,Seattle,Other neighborhoods,Apartment,f,f,f,Entire home/apt,"Seattle, WA",WA,9636238,20160104002432,49834917,1.0,1.0,47.690222004285715,-122.35437120501152,2,1.0,1.0,1.0,1,1,1125,1,2,4,4,0,94.53926206244087,9.63639240506329,9.556398104265403,9.786708860759493,9.809598989580044,9.608915586468543,9.452245414294751,1,2.078918834221248,120.0,567.5573663624511,254.48483177054607,61.71090387374462,0.0
1966,Real Bed,2016-01-04,strict,Seattle,United States,US,none,t,100%,t,f,f,within a few hours,f,t,WASHINGTON,2016-01-04,Seattle,Other neighborhoods,Apartment,f,f,f,Entire home/apt,"Seattle, WA",WA,823989,20160104002432,12621051,1.0,1.0,47.704848490043105,-122.3448873954637,6,1.0,2.0,3.0,1,3,365,22,52,82,344,55,92.0,9.0,9.0,9.0,9.0,8.0,9.0,1,1.51,105.0,665.0,200.0,30.0,0.0
1967,Real Bed,2016-01-04,flexible,Seattle,United States,US,none,t,100%,t,t,f,within a few hours,f,t,WASHINGTON,2016-01-04,Seattle,Other neighborhoods,Bungalow,f,f,f,Entire home/apt,"Seattle, WA",WA,7596934,20160104002432,6288119,1.0,1.0,47.686443235757025,-122.35004730895551,2,1.0,0.0,1.0,1,1,1125,30,60,90,365,4,95.0,10.0,10.0,10.0,10.0,10.0,10.0,1,0.84,90.0,600.0,254.48483177054607,50.0,0.0
1968,Real Bed,2016-01-04,moderate,Seattle,United States,US,none,t,100%,t,t,f,within a few hours,f,t,WASHINGTON,2016-01-04,Seattle,Other neighborhoods,Apartment,f,f,f,Entire home/apt,"Seattle, WA",WA,6832592,20160104002432,25189700,1.0,1.0,47.68438656609459,-122.36086979269469,6,1.0,2.0,3.0,4,2,1125,30,60,90,179,15,95.0,10.0,10.0,10.0,10.0,10.0,9.0,1,2.57,125.0,567.5573663624511,500.0,99.0,20.0
1969,Real Bed,2016-01-04,flexible,Seattle,United States,US,none,t,100%,t,t,t,within an hour,f,t,WASHINGTON,2016-01-04,Seattle,Other neighborhoods,House,f,f,f,Entire home/apt,"Seattle, WA",WA,3922853,20160104002432,20321164,3.0,3.0,47.69457430757432,-122.35795935350927,4,1.0,2.0,2.0,2,1,90,0,0,0,242,14,99.0,10.0,10.0,10.0,10.0,10.0,10.0,3,1.06,105.0,375.0,100.0,75.0,0.0
1970,Real Bed,2016-01-04,flexible,Seattle,United States,US,none,t,100%,t,t,t,within an hour,f,t,WASHINGTON,2016-01-04,Seattle,Other neighborhoods,House,f,f,f,Entire home/apt,"Seattle, WA",WA,9475641,20160104002432,12973318,1.0,1.0,47.702909801142454,-122.36187337172962,6,2.5,3.0,3.0,4,13,183,20,50,79,79,0,94.53926206244087,9.63639240506329,9.556398104265403,9.786708860759493,9.809598989580044,9.608915586468543,9.452245414294751,1,2.078918834221248,98.0,567.5573663624511,500.0,40.0,10.0
1971,Real Bed,2016-01-04,strict,Seattle,United States,US,none,t,100%,t,f,f,within a few hours,t,t,WASHINGTON,2016-01-04,Seattle,Other neighborhoods,House,f,f,f,Private room,"Seattle, WA",WA,8718936,20160104002432,42627942,3.0,3.0,47.703412385409,-122.35480304957758,1,1.0,1.0,1.0,1,1,1125,25,55,85,360,0,94.53926206244087,9.63639240506329,9.556398104265403,9.786708860759493,9.809598989580044,9.608915586468543,9.452245414294751,3,2.078918834221248,44.0,350.0,300.0,100.0,0.0
1972,Real Bed,2016-01-04,moderate,Seattle,United States,US,none,t,100%,t,t,f,within an hour,f,f,WASHINGTON,2016-01-04,Seattle,Other neighborhoods,House,f,f,f,Private room,"Seattle, WA",WA,9075558,20160104002432,7237936,1.0,1.0,47.70048323654476,-122.34656223149315,2,1.0,1.0,1.0,2,1,1125,11,26,55,55,6,57.0,6.0,5.0,8.0,9.0,8.0,7.0,1,2.95,34.0,567.5573663624511,254.48483177054607,61.71090387374462,0.0
1973,Real Bed,2016-01-04,moderate,Seattle,United States,US,none,t,100%,t,t,f,within a few hours,f,t,WASHINGTON,2016-01-04,Seattle,Other neighborhoods,House,f,f,f,Private room,"Seattle, WA",WA,671828,20160104002432,3396093,2.0,2.0,47.69109348570525,-122.36464002063313,1,2.5,1.0,1.0,1,5,365,3,33,63,338,0,94.53926206244087,9.63639240506329,9.556398104265403,9.786708860759493,9.809598989580044,9.608915586468543,9.452245414294751,2,2.078918834221248,50.0,350.0,500.0,61.71090387374462,10.0
1974,Real Bed,2016-01-04,moderate,Seattle,United States,US,none,t,100%,t,t,t,within an hour,f,t,WASHINGTON,2016-01-04,Seattle,Other neighborhoods,House,f,f,f,Entire home/apt,"Seattle, WA",WA,6660186,20160104002432,34859303,1.0,1.0,47.689268637808965,-122.35414043748622,2,1.5,1.0,1.0,2,2,29,30,60,90,365,16,95.0,10.0,10.0,10.0,10.0,10.0,9.0,1,2.31,85.0,524.0,100.0,35.0,20.0
1975,Real Bed,2016-01-04,flexible,Seattle,United States,US,none,t,100%,t,t,f,within an hour,f,t,WASHINGTON,2016-01-04,Seattle,Other neighborhoods,Chalet,f,f,f,Private room,"Seattle, WA",WA,716829,20160104002432,62386,4.0,4.0,47.699419381004724,-122.34831249572245,1,1.2594687006838505,1.0,1.0,1,1,1125,30,60,90,365,1,71.0,10.0,6.0,6.0,4.0,8.0,8.0,4,0.03,62.0,300.0,254.48483177054607,25.0,20.0
1976,Real Bed,2016-01-04,moderate,Seattle,United States,US,none,t,100%,t,f,f,within an hour,t,t,WASHINGTON,2016-01-04,Seattle,Other neighborhoods,House,f,f,f,Private room,"Seattle, WA",WA,3916050,20160104002432,20283872,2.0,2.0,47.694307642528116,-122.34673550930927,1,1.0,1.0,1.0,1,1,1125,30,60,90,365,39,86.0,9.0,8.0,9.0,9.0,9.0,8.0,2,2.35,49.0,567.5573663624511,254.48483177054607,61.71090387374462,0.0
1977,Real Bed,2016-01-04,flexible,Seattle,United States,US,none,t,100%,t,t,f,within an hour,f,t,WASHINGTON,2016-01-04,Seattle,Other neighborhoods,House,f,f,f,Private room,"Seattle, WA",WA,2187906,20160104002432,6374498,2.0,2.0,47.69461915650809,-122.36063570209886,2,0.5,1.0,1.0,1,1,5,23,53,82,82,21,93.0,10.0,9.0,10.0,10.0,9.0,9.0,2,0.96,50.0,567.5573663624511,254.48483177054607,61.71090387374462,5.0
1978,Real Bed,2016-01-04,flexible,Seattle,United States,US,none,t,100%,t,f,f,within a day,f,t,WASHINGTON,2016-01-04,Seattle,Other neighborhoods,House,f,f,f,Private room,"Seattle, WA",WA,9091301,20160104002432,47402064,1.0,1.0,47.69684140871068,-122.349080474568,2,1.0,1.0,1.0,1,1,1125,0,0,2,216,3,87.0,9.0,10.0,10.0,10.0,9.0,9.0,1,1.3,50.0,567.5573663624511,254.48483177054607,61.71090387374462,0.0
1979,Real Bed,2016-01-04,flexible,Seattle,United States,US,none,t,100%,t,t,f,within an hour,f,t,WASHINGTON,2016-01-04,Seattle,Other neighborhoods,House,f,f,f,Private room,"Seattle, WA",WA,9048584,20160104002432,62386,4.0,4.0,47.69835880468836,-122.34948846083786,2,1.0,1.0,1.0,1,1,1125,30,60,90,365,0,94.53926206244087,9.63639240506329,9.556398104265403,9.786708860759493,9.809598989580044,9.608915586468543,9.452245414294751,4,2.078918834221248,70.0,567.5573663624511,254.48483177054607,20.0,0.0
1982,Real Bed,2016-01-04,strict,Seattle,United States,US,none,t,100%,t,f,f,within a few hours,t,t,WASHINGTON,2016-01-04,Seattle,Other neighborhoods,House,f,f,f,Private room,"Seattle, WA",WA,8717758,20160104002432,42627942,3.0,3.0,47.703918837951505,-122.3544290990173,1,1.0,1.0,1.0,1,1,1125,23,53,83,358,0,94.53926206244087,9.63639240506329,9.556398104265403,9.786708860759493,9.809598989580044,9.608915586468543,9.452245414294751,3,2.078918834221248,38.0,250.0,300.0,50.0,0.0
1984,Real Bed,2016-01-04,moderate,Seattle,United States,US,none,t,100%,t,t,f,within an hour,f,t,WASHINGTON,2016-01-04,Seattle,Other neighborhoods,Tent,f,f,f,Shared room,"Seattle, WA",WA,7064681,20160104002432,6374498,2.0,2.0,47.693145745394474,-122.36225882928758,2,1.0,1.0,2.0,1,1,1125,0,0,0,163,4,90.0,10.0,10.0,10.0,10.0,9.0,10.0,2,0.71,25.0,567.5573663624511,254.48483177054607,61.71090387374462,10.0
1985,Futon,2016-01-04,moderate,Seattle,United States,US,none,t,100%,t,f,f,within a day,f,t,WASHINGTON,2016-01-04,Seattle,Other neighborhoods,House,f,f,f,Private room,"Seattle, WA",WA,1935439,20160104002432,10014839,1.0,1.0,47.70329901188529,-122.36073241526356,2,2.0,1.0,1.0,1,2,1125,0,0,0,270,3,80.0,10.0,8.0,8.0,7.0,10.0,9.0,1,0.16,49.0,250.0,400.0,30.0,10.0
1986,Real Bed,2016-01-04,strict,Seattle,United States,US,none,t,100%,t,f,f,within a day,f,t,WASHINGTON,2016-01-04,Seattle,Other neighborhoods,House,f,f,f,Entire home/apt,"Seattle, WA",WA,5931372,20160104002432,7271601,2.0,2.0,47.704281863582494,-122.34621809778736,6,1.5,2.0,3.0,2,1,1125,0,0,0,194,12,80.0,9.0,8.0,9.0,9.0,8.0,9.0,2,1.37,129.0,800.0,254.48483177054607,35.0,8.0
1988,Real Bed,2016-01-04,flexible,Seattle,United States,US,none,t,100%,t,t,t,within an hour,f,t,WASHINGTON,2016-01-04,Seattle,Other neighborhoods,House,f,f,f,Private room,"Seattle, WA",WA,4360604,20160104002432,20321164,3.0,3.0,47.69400198698333,-122.35995318770064,2,1.0,1.0,2.0,0,1,30,0,0,0,242,16,95.0,9.0,9.0,10.0,10.0,9.0,10.0,3,1.67,42.0,161.0,100.0,25.0,0.0
1990,Real Bed,2016-01-04,strict,Seattle,United States,US,none,t,100%,t,t,f,within a few hours,f,t,WASHINGTON,2016-01-04,Seattle,Other neighborhoods,House,f,f,f,Entire home/apt,"Seattle, WA",WA,7151107,20160104002432,18683496,1.0,1.0,47.68396502676616,-122.35792529073177,6,3.5,3.0,3.0,4,1,1125,0,6,6,103,5,100.0,10.0,10.0,10.0,10.0,10.0,10.0,1,0.92,299.0,567.5573663624511,100.0,100.0,0.0
1991,Real Bed,2016-01-04,flexible,Seattle,United States,US,none,t,100%,t,f,f,within a few hours,t,t,WASHINGTON,2016-01-04,Seattle,Other neighborhoods,House,f,f,f,Private room,"Seattle, WA",WA,7935437,20160104002432,41846073,1.0,1.0,47.69874400289459,-122.34834691812344,5,1.0,1.0,2.0,1,2,1125,30,60,90,365,3,100.0,10.0,10.0,9.0,10.0,9.0,10.0,1,0.75,99.0,600.0,254.48483177054607,40.0,0.0
1992,Real Bed,2016-01-04,moderate,Seattle,United States,US,none,t,100%,t,t,f,within a day,f,t,WASHINGTON,2016-01-04,Seattle,Other neighborhoods,House,f,f,f,Entire home/apt,"Seattle, WA",WA,6364753,20160104002432,1890330,1.0,1.0,47.691250462217,-122.36117756769093,4,1.5,2.0,2.0,1,4,1125,0,0,0,211,4,100.0,10.0,10.0,10.0,10.0,10.0,10.0,1,0.6,175.0,567.5573663624511,254.48483177054607,100.0,0.0
1994,Real Bed,2016-01-04,strict,Seattle,United States,US,none,t,100%,t,t,t,within an hour,f,t,WASHINGTON,2016-01-04,Seattle,Other neighborhoods,Apartment,f,f,f,Entire home/apt,"Seattle, WA",WA,6166307,20160104002432,7488822,1.0,1.0,47.69251163716577,-122.36466227640007,3,1.0,1.0,2.0,3,1,30,22,52,81,81,21,97.0,10.0,10.0,10.0,10.0,9.0,9.0,1,2.68,120.0,893.0,200.0,50.0,50.0
1996,Real Bed,2016-01-04,strict,Seattle,United States,US,none,t,100%,t,t,t,within an hour,t,t,WASHINGTON,2016-01-04,Seattle,Other neighborhoods,House,f,f,f,Private room,"Seattle, WA",WA,6411259,20160104002432,15565015,1.0,1.0,47.68554794933068,-122.35142135168142,2,1.0,1.0,1.0,1,2,1125,9,33,62,62,31,94.0,9.0,9.0,10.0,10.0,10.0,9.0,1,4.41,56.0,450.0,254.48483177054607,25.0,0.0
1997,Real Bed,2016-01-04,moderate,Seattle,United States,US,none,t,100%,t,t,f,within a few hours,f,t,WASHINGTON,2016-01-04,Seattle,Other neighborhoods,House,f,f,f,Private room,"Seattle, WA",WA,670262,20160104002432,3396093,2.0,2.0,47.689420143784425,-122.36274234830601,1,1.0,1.0,1.0,1,5,365,9,39,69,344,2,100.0,10.0,10.0,10.0,10.0,10.0,9.0,2,0.06,55.0,375.0,500.0,61.71090387374462,0.0
1998,Real Bed,2016-01-04,moderate,Seattle,United States,US,none,t,100%,t,t,f,within an hour,f,t,WASHINGTON,2016-01-04,Seattle,Other neighborhoods,House,f,f,f,Private room,"Seattle, WA",WA,8411663,20160104002432,20731,2.0,2.0,47.69849564451514,-122.34604392900009,2,1.5,1.0,1.0,1,1,1125,29,59,89,178,0,94.53926206244087,9.63639240506329,9.556398104265403,9.786708860759493,9.809598989580044,9.608915586468543,9.452245414294751,2,2.078918834221248,55.0,375.0,95.0,20.0,0.0
1999,Real Bed,2016-01-04,moderate,Seattle,United States,US,none,t,100%,t,t,f,within an hour,f,t,WASHINGTON,2016-01-04,Seattle,Other neighborhoods,House,f,f,f,Entire home/apt,"Seattle, WA",WA,6926511,20160104002432,20266233,1.0,1.0,47.68660330330381,-122.34854132211727,6,2.0,2.0,2.0,4,2,20,0,0,0,11,7,100.0,10.0,10.0,10.0,10.0,10.0,10.0,1,1.14,235.0,567.5573663624511,254.48483177054607,60.0,20.0
2000,Real Bed,2016-01-04,flexible,Seattle,United States,US,none,t,100%,t,t,f,within a few hours,f,t,WASHINGTON,2016-01-04,Seattle,Other neighborhoods,Apartment,f,f,f,Entire home/apt,"Seattle, WA",WA,9908591,20160104002432,2511908,1.0,1.0,47.694745754089745,-122.35807424734341,4,1.0,1.0,1.0,1,2,1125,23,39,55,104,2,100.0,9.63639240506329,9.556398104265403,9.786708860759493,9.809598989580044,9.608915586468543,9.452245414294751,1,2.0,100.0,567.5573663624511,254.48483177054607,61.71090387374462,0.0
2001,Real Bed,2016-01-04,moderate,Seattle,United States,US,none,t,100%,t,t,t,within an hour,t,t,WASHINGTON,2016-01-04,Seattle,Other neighborhoods,House,f,f,f,Private room,"Seattle, WA",WA,5640722,20160104002432,2696775,1.0,1.0,47.69722466884666,-122.34876156918638,2,1.0,1.0,1.0,2,3,1125,30,60,90,358,29,99.0,10.0,10.0,10.0,10.0,9.0,10.0,1,3.09,60.0,410.0,100.0,30.0,30.0
2002,Real Bed,2016-01-04,strict,Seattle,United States,US,none,t,100%,t,t,f,within an hour,t,t,WASHINGTON,2016-01-04,Seattle,Other neighborhoods,Apartment,f,f,f,Entire home/apt,"Seattle, WA",WA,6701018,20160104002432,394231,2.0,2.0,47.704788928778974,-122.34640195030182,4,1.0,1.0,1.0,3,1,1125,8,38,68,296,21,84.0,9.0,9.0,10.0,9.0,7.0,9.0,2,3.07,67.0,439.0,300.0,125.0,0.0
2003,Real Bed,2016-01-04,moderate,Seattle,United States,US,none,t,100%,t,t,f,within an hour,f,t,WASHINGTON,2016-01-04,Seattle,Other neighborhoods,House,f,f,f,Private room,"Seattle, WA",WA,3653575,20160104002432,5658605,1.0,1.0,47.69393723463818,-122.36307052982342,4,1.0,1.0,1.0,2,1,21,30,60,90,365,26,97.0,10.0,10.0,10.0,10.0,10.0,10.0,1,1.47,95.0,567.5573663624511,200.0,50.0,20.0
2004,Real Bed,2016-01-04,moderate,Seattle,United States,US,none,t,100%,t,t,f,within an hour,f,t,WASHINGTON,2016-01-04,Seattle,Other neighborhoods,Condominium,f,f,f,Entire home/apt,"Seattle, WA",WA,7647221,20160104002432,1340738,1.0,1.0,47.70176565247275,-122.35443535095185,5,2.0,2.0,2.0,4,2,1125,0,0,7,273,3,93.0,9.0,9.0,10.0,10.0,9.0,9.0,1,1.58,115.0,425.0,100.0,20.0,20.0
2005,Real Bed,2016-01-04,strict,Seattle,United States,US,none,t,100%,t,t,f,within an hour,f,t,WASHINGTON,2016-01-04,Seattle,Other neighborhoods,House,f,f,f,Private room,"Seattle, WA",WA,3637180,20160104002432,3152296,2.0,2.0,47.68635058076888,-122.3531560632958,2,1.0,1.0,1.0,1,1,1125,27,57,87,362,58,95.0,9.0,10.0,10.0,10.0,9.0,10.0,2,3.26,50.0,567.5573663624511,254.48483177054607,20.0,5.0
2006,Real Bed,2016-01-04,strict,Seattle,United States,US,none,t,100%,t,t,f,within a day,f,t,WASHINGTON,2016-01-04,Seattle,Other neighborhoods,House,f,f,f,Entire home/apt,"Seattle, WA",WA,6215199,20160104002432,32232694,1.0,1.0,47.6986213639699,-122.34633612556948,6,2.0,3.0,4.0,6,3,1125,0,0,0,2,7,91.0,9.0,9.0,9.0,9.0,7.0,9.0,1,1.04,199.0,567.5573663624511,254.48483177054607,61.71090387374462,15.0
2007,Real Bed,2016-01-04,strict,Seattle,United States,US,none,t,100%,t,t,f,within an hour,f,t,WASHINGTON,2016-01-04,Seattle,Other neighborhoods,Apartment,f,f,f,Entire home/apt,"Seattle, WA",WA,714043,20160104002432,2796016,3.0,3.0,47.68796586734098,-122.35005573597373,3,1.0,1.0,1.0,3,2,352,0,6,36,125,36,96.0,10.0,9.0,10.0,10.0,9.0,9.0,2,0.91,86.0,800.0,500.0,80.0,20.0
2008,Real Bed,2016-01-04,strict,Seattle,United States,US,none,t,100%,t,t,f,within a few hours,t,t,WASHINGTON,2016-01-04,Seattle,Other neighborhoods,House,f,f,f,Entire home/apt,"Seattle, WA",WA,3890990,20160104002432,5325329,9.0,9.0,47.699809287151744,-122.35551847109251,7,1.0,2.0,4.0,7,1,90,26,56,86,175,57,91.0,9.0,9.0,10.0,10.0,9.0,9.0,8,3.43,175.0,567.5573663624511,250.0,100.0,40.0
2009,Real Bed,2016-01-04,moderate,Seattle,United States,US,none,t,100%,t,f,f,within an hour,t,t,WASHINGTON,2016-01-04,Seattle,Other neighborhoods,House,f,f,f,Private room,"Seattle, WA",WA,4038347,20160104002432,20283872,2.0,2.0,47.695746427644565,-122.34594515890909,1,1.0,1.0,1.0,1,1,1125,30,60,90,365,48,83.0,9.0,8.0,9.0,9.0,9.0,9.0,2,3.01,55.0,567.5573663624511,254.48483177054607,61.71090387374462,0.0
2010,Real Bed,2016-01-04,moderate,Seattle,United States,US,none,t,100%,t,t,f,within an hour,f,t,WASHINGTON,2016-01-04,Seattle,Other neighborhoods,House,t,t,f,Private room,"Seattle, WA",WA,523883,20160104002432,2575710,1.0,1.0,47.696674234682035,-122.35851227157892,2,1.0,1.0,1.0,1,2,1125,26,56,86,361,49,93.0,10.0,10.0,10.0,10.0,9.0,9.0,1,1.16,68.0,450.0,100.0,61.71090387374462,0.0
2011,Real Bed,2016-01-04,strict,Phinney Ridge Seattle,United States,US,none,t,100%,t,f,f,within an hour,f,t,WASHINGTON,2016-01-04,Seattle,Other neighborhoods,Apartment,f,f,f,Entire home/apt,"Phinney Ridge Seattle, WA",WA,4111954,20160104002432,6622693,1.0,1.0,47.68471103285552,-122.3544242919029,2,1.0,1.0,1.0,2,7,60,13,13,13,15,11,95.0,10.0,9.0,10.0,10.0,10.0,9.0,1,0.82,60.0,567.5573663624511,100.0,30.0,0.0
2012,Real Bed,2016-01-04,moderate,Seattle,United States,US,none,t,100%,t,f,t,within an hour,f,t,WASHINGTON,2016-01-04,Seattle,Other neighborhoods,Apartment,f,f,f,Entire home/apt,"Seattle, WA",WA,4693488,20160104002432,17469341,1.0,1.0,47.68400393754029,-122.3538867892085,2,1.0,1.0,1.0,1,3,60,30,60,90,179,22,98.0,10.0,10.0,10.0,10.0,10.0,10.0,1,1.92,90.0,650.0,254.48483177054607,35.0,0.0
2013,Real Bed,2016-01-04,strict,Seattle,United States,US,none,t,100%,t,t,t,within an hour,t,t,WASHINGTON,2016-01-04,Seattle,Other neighborhoods,Townhouse,f,f,f,Entire home/apt,"Seattle, WA",WA,5127136,20160104002432,26502819,1.0,1.0,47.691372600278356,-122.36404939345935,8,1.5,3.0,4.0,4,2,28,20,39,59,148,43,98.0,10.0,10.0,10.0,10.0,9.0,10.0,1,4.94,139.0,567.5573663624511,300.0,100.0,10.0
2015,Real Bed,2016-01-04,flexible,Seattle,United States,US,none,t,100%,t,t,f,within a few hours,f,t,WASHINGTON,2016-01-04,Seattle,Other neighborhoods,Apartment,f,f,f,Private room,"Seattle, WA",WA,8028801,20160104002432,8117374,1.0,1.0,47.69177391621422,-122.36567515823792,2,1.0,1.0,1.0,2,1,1125,30,60,90,365,14,94.0,10.0,9.0,10.0,10.0,10.0,10.0,1,3.62,50.0,300.0,254.48483177054607,61.71090387374462,15.0
2016,Real Bed,2016-01-04,strict,Seattle,United States,US,none,t,100%,t,t,f,within an hour,f,t,WASHINGTON,2016-01-04,Seattle,Other neighborhoods,House,f,f,f,Entire home/apt,"Seattle, WA",WA,9050781,20160104002432,39878844,1.0,1.0,47.69493160352201,-122.36001135703528,4,1.0,2.0,2.0,1,3,90,13,43,73,162,0,94.53926206244087,9.63639240506329,9.556398104265403,9.786708860759493,9.809598989580044,9.608915586468543,9.452245414294751,1,2.078918834221248,115.0,567.5573663624511,500.0,75.0,0.0
2017,Real Bed,2016-01-04,flexible,Seattle,United States,US,none,t,100%,t,t,f,within an hour,f,t,WASHINGTON,2016-01-04,Seattle,Other neighborhoods,House,f,f,f,Entire home/apt,"Seattle, WA",WA,178844,20160104002432,62386,4.0,4.0,47.697961369162286,-122.34900702762216,3,1.0,1.0,2.0,2,2,28,30,60,90,365,2,100.0,10.0,10.0,10.0,10.0,10.0,10.0,4,1.54,80.0,400.0,254.48483177054607,25.0,0.0
2018,Real Bed,2016-01-04,flexible,Seattle,United States,US,none,t,100%,t,t,f,within a day,f,t,WASHINGTON,2016-01-04,Seattle,Other neighborhoods,Apartment,f,f,f,Entire home/apt,"Seattle, WA",WA,8034871,20160104002432,3041082,1.0,1.0,47.700481024903794,-122.35089205892858,2,1.0,1.0,1.0,1,2,1125,29,45,75,350,6,100.0,10.0,10.0,10.0,10.0,9.0,10.0,1,1.51,95.0,567.5573663624511,254.48483177054607,20.0,0.0
2022,Real Bed,2016-01-04,flexible,Seattle,United States,US,none,t,100%,t,t,t,within an hour,f,t,WASHINGTON,2016-01-04,Seattle,Other neighborhoods,House,f,f,f,Private room,"Seattle, WA",WA,4360485,20160104002432,20321164,3.0,3.0,47.692747861067375,-122.35975682326522,2,1.0,1.0,1.0,0,1,30,0,0,0,242,16,96.0,10.0,9.0,10.0,10.0,10.0,10.0,3,1.54,63.0,226.0,100.0,50.0,0.0
