,bed_type,calendar_last_scraped,cancellation_policy,city,country,country_code,experiences_offered,has_availability,host_acceptance_rate,host_has_profile_pic,host_identity_verified,host_is_superhost,host_response_time,instant_bookable,is_location_exact,jurisdiction_names,last_scraped,market,neighbourhood_group_cleansed,property_type,require_guest_phone_verification,require_guest_profile_picture,requires_license,room_type,smart_location,state,id,scrape_id,host_id,host_listings_count,host_total_listings_count,latitude,longitude,accommodates,bathrooms,bedrooms,beds,guests_included,minimum_nights,maximum_nights,availability_30,availability_60,availability_90,availability_365,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,calculated_host_listings_count,reviews_per_month,price,weekly_price,security_deposit,cleaning_fee,extra_people
30,Real Bed,2016-01-04,strict,Seattle,United States,US,none,t,100%,t,t,t,within an hour,f,t,WASHINGTON,2016-01-04,Seattle,Queen Anne,Apartment,t,t,f,Entire home/apt,"Seattle, WA",WA,2481869,20160104002432,5177328,6.0,6.0,47.63900777818944,-122.36532007300232,4,1.0,1.0,1.0,1,2,365,19,46,62,323,38,96.0,10.0,10.0,10.0,10.0,10.0,10.0,6,1.86,175.0,567.5573663624511,254.48483177054607,40.0,0.0
31,Real Bed,2016-01-04,strict,Seattle,United States,US,none,t,100%,t,t,f,within a few hours,f,t,WASHINGTON,2016-01-04,Seattle,Queen Anne,House,f,f,f,Entire home/apt,"Seattle, WA",WA,1110749,20160104002432,5325329,9.0,9.0,47.63508504491007,-122.36444347330422,6,1.5,3.0,3.0,6,2,1125,23,50,77,162,68,92.0,9.0,9.0,10.0,9.0,10.0,9.0,8,2.18,325.0,567.5573663624511,500.0,100.0,60.0
32,Real Bed,2016-01-04,flexible,Seattle,United States,US,none,t,100%,t,t,f,within a day,f,t,WASHINGTON,2016-01-04,Seattle,Queen Anne,House,f,f,f,Entire home/apt,"Seattle, WA",WA,5978498,20160104002432,31037494,1.0,1.0,47.640633234573535,-122.37270939338377,4,3.0,3.0,2.0,1,4,120,0,0,9,213,8,88.0,9.0,9.0,9.0,9.0,10.0,9.0,1,1.31,175.0,699.0,200.0,80.0,0.0
33,Real Bed,2016-01-04,strict,Seattle,United States,US,none,t,100%,t,t,f,within an hour,t,t,WASHINGTON,2016-01-04,Seattle,Queen Anne,House,f,f,f,Entire home/apt,"Seattle, WA",WA,5021081,20160104002432,25906186,1.0,1.0,47.63812148697112,-122.37578997278469,7,3.5,4.0,3.0,7,2,1125,0,0,0,2,5,75.0,8.0,9.0,8.0,9.0,9.0,8.0,1,0.99,222.0,567.5573663624511,500.0,250.0,75.0
34,Real Bed,2016-01-04,strict,Seattle,United States,US,none,t,100%,t,f,f,within an hour,f,t,WASHINGTON,2016-01-04,Seattle,Queen Anne,Apartment,f,f,f,Entire home/apt,"Seattle, WA",WA,1686930,20160104002432,8916363,1.0,1.0,47.62981553345286,-122.36621233485974,4,1.0,2.0,2.0,1,1,1125,11,38,68,309,62,97.0,10.0,10.0,10.0,10.0,10.0,9.0,1,2.27,159.0,567.5573663624511,250.0,99.0,0.0
35,Real Bed,2016-01-04,moderate,Seattle,United States,US,none,t,100%,t,t,f,within an hour,t,t,WASHINGTON,2016-01-04,Seattle,Queen Anne,Apartment,f,f,f,Entire home/apt,"Seattle, WA",WA,7680289,20160104002432,40335071,2.0,2.0,47.63981018787381,-122.37380062876858,4,1.0,1.0,2.0,2,2,365,30,60,90,353,19,95.0,10.0,10.0,10.0,10.0,10.0,10.0,2,4.35,125.0,800.0,254.48483177054607,50.0,25.0
37,Futon,2016-01-04,flexible,Seattle,United States,US,none,t,100%,t,f,f,a few days or more,f,t,WASHINGTON,2016-01-04,Seattle,Queen Anne,House,f,f,f,Private room,"Seattle, WA",WA,5062445,20160104002432,21072725,1.0,1.0,47.63497873047923,-122.35886941246471,1,1.0,1.0,1.0,1,1,1125,28,58,88,363,7,97.0,9.0,8.0,10.0,10.0,10.0,10.0,1,0.9,45.0,450.0,254.48483177054607,61.71090387374462,0.0
38,Real Bed,2016-01-04,moderate,Seattle,United States,US,none,t,100%,t,t,f,within an hour,t,t,WASHINGTON,2016-01-04,Seattle,Queen Anne,Apartment,f,f,f,Entire home/apt,"Seattle, WA",WA,8925878,20160104002432,40335071,2.0,2.0,47.63936210298089,-122.37240255654484,4,1.0,1.0,2.0,2,2,365,16,46,76,351,2,100.0,10.0,10.0,10.0,10.0,10.0,10.0,2,0.83,150.0,950.0,254.48483177054607,50.0,25.0
39,Real Bed,2016-01-04,flexible,Seattle,United States,US,none,t,100%,t,t,t,within a few hours,f,t,WASHINGTON,2016-01-04,Seattle,Queen Anne,Apartment,f,f,f,Entire home/apt,"Seattle, WA",WA,6389657,20160104002432,2052160,1.0,1.0,47.634616284308606,-122.3580227325536,2,1.0,0.0,1.0,1,3,1125,12,38,40,201,11,98.0,10.0,10.0,10.0,10.0,10.0,10.0,1,1.98,80.0,567.5573663624511,254.48483177054607,20.0,0.0
40,Real Bed,2016-01-04,moderate,Seattle,United States,US,none,t,100%,t,t,f,within an hour,f,t,WASHINGTON,2016-01-04,Seattle,Queen Anne,Apartment,f,f,f,Entire home/apt,"Seattle, WA",WA,4218733,20160104002432,21896205,1.0,1.0,47.63800137747845,-122.36100481691408,4,1.0,1.0,2.0,2,2,1125,19,46,76,351,71,90.0,10.0,8.0,10.0,10.0,10.0,9.0,1,4.7,110.0,567.5573663624511,100.0,40.0,15.0
